0,4,6,0
4,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
0,4,12,0
0,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,5,11,0
0,5,12,0
0,6,6,0
2,6,7,0
0,6,8,0
0,6,9,0
0,6,10,0
2,6,11,0
0,6,12,0
0,6,13,0
0,7,6,0
2,7,7,0
0,7,8,0
2,7,9,0
2,7,10,0
10,7,11,0
2,7,12,0
0,7,13,0
0,8,6,0
2,8,7,0
0,8,8,0
9,8,9,0
3,8,10,0
2,8,11,0
10,8,12,0
0,8,13,0
0,9,6,0
2,9,7,0
0,9,8,0
2,9,9,0
3,9,10,0
2,9,11,0
0,9,12,0
0,9,13,0
0,10,6,0
9,10,7,0
0,10,8,0
9,10,9,0
2,10,10,0
2,10,11,0
5,10,12,0
0,10,13,0
0,11,6,0
2,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
2,11,11,0
2,11,12,0
0,11,13,0
0,12,6,0
9,12,7,0
4,12,8,450
2,12,9,0
2,12,10,0
2,12,11,0
9,12,12,0
1,12,13,0
0,13,6,0
2,13,7,0
4,13,8,450
2,13,9,0
8,13,10,0
2,13,11,0
2,13,12,0
0,13,13,0
0,14,6,0
10,14,7,0
0,14,8,0
7,14,9,0
8,14,10,0
2,14,11,0
9,14,12,0
0,14,13,0
0,15,6,0
2,15,7,0
2,15,8,0
2,15,9,0
8,15,10,0
2,15,11,0
2,15,12,0
0,15,13,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,16,12,0
0,16,13,0
