0,6,7,0
4,6,8,0
0,6,9,0
4,6,10,0
0,6,11,0
0,6,12,0
0,6,13,0
0,6,14,0
0,7,7,0
10,7,8,0
2,7,9,0
2,7,10,0
2,7,11,0
2,7,12,0
2,7,13,0
6,7,14,0
0,8,7,0
3,8,8,0
2,8,9,0
3,8,10,0
10,8,11,0
3,8,12,0
5,8,13,0
6,8,14,0
0,9,7,0
2,9,8,0
9,9,9,0
2,9,10,0
9,9,11,0
2,9,12,0
9,9,13,0
6,9,14,0
0,10,7,0
9,10,8,0
0,10,9,0
0,10,10,0
2,10,11,0
0,10,12,0
0,10,13,0
0,10,14,0
0,11,7,0
2,11,8,0
0,11,9,0
0,11,10,0
2,11,11,0
0,11,12,0
0,12,7,0
9,12,8,0
4,12,9,0
0,12,10,0
2,12,11,0
0,12,12,0
0,13,7,0
2,13,8,0
2,13,9,0
2,13,10,0
2,13,11,0
0,13,12,0
0,14,7,0
9,14,8,0
2,14,9,0
8,14,10,0
2,14,11,0
0,14,12,0
0,15,7,0
2,15,8,0
7,15,9,0
8,15,10,0
2,15,11,0
0,15,12,0
0,16,7,0
2,16,8,0
2,16,9,0
8,16,10,0
2,16,11,0
0,16,12,0
0,17,7,0
0,17,8,0
2,17,9,0
2,17,10,0
2,17,11,0
0,17,12,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,18,11,0
0,18,12,0
